City ->;Malmö;;;Östersund;;;Kiruna;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2013/04/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/04/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/05/31;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/06/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
