City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2014/03/08;-1;12;Clear;4;14;Clear;0;10;n/a;2;8;n/a;0;3;n/a
2014/03/09;-3;12;Mist;3;17;Clear;2;15;Mist;3;13;Haze;1;9;Cloudy
2014/03/10;-1;14;Clear;1;14;Partly Cloudy;3;18;Mist;0;11;Fair;2;6;Partly Cloudy
2014/03/11;-3;16;Clear;4;11;Partly Cloudy;-1;13;n/a;-5;11;Fair;1;5;Mostly Cloudy
2014/03/12;-1;14;Clear;1;15;Clear;-2;14;n/a;-3;13;Fair;4;6;Partly Cloudy
2014/03/13;-2;16;Clear;-1;17;Clear;-1;15;n/a;1;11;Fair;2;8;Mostly Cloudy/Windy
2014/03/14;0;16;Clear;-1;16;Fair;4;10;Partly Cloudy;-2;9;Light Rain/Windy;-1;3;Partly Cloudy
2014/03/15;6;11;Cloudy/Windy;6;18;Clear;5;10;Partly Cloudy;1;6;Fair;-6;0;n/a
2014/03/16;7;13;Mostly Cloudy;7;19;Clear;5;11;Light Rain;0;6;Rain and Snow;-8;-2;Fair
2014/03/17;9;13;Clear;3;14;Clear;6;10;Partly Cloudy;3;7;Fair;-5;-1;Light Snow
2014/03/18;7;14;Light Rain;5;13;Fair;6;10;Partly Cloudy;2;6;Drizzle;-12;-2;Light Snow
2014/03/19;8;10;Partly Cloudy;7;8;Mostly Cloudy;8;10;Cloudy;6;7;Light Rain;-7;-7;Light Snow
2014/03/20;7;19;Clear;8;13;Rain Shower;8;15;n/a;6;11;Fair;-8;5;Mostly Cloudy
2014/03/21;8;22;Fair;6;11;Fair;4;14;Mostly Cloudy;2;10;Fair;0;6;Fair
2014/03/22;9;20;Clear;3;11;Partly Cloudy;3;9;Mist;2;7;Partly Cloudy;0;6;n/a
2014/03/23;3;9;Light Rain;1;9;Clear;2;10;Mist;1;8;Fair;0;4;Fair
2014/03/24;2;6;Clear;-2;11;Clear;-3;10;n/a;-4;7;Fair;-3;4;Fair
2014/03/25;1;7;Clear;4;8;Partly Cloudy;-1;7;Drizzle;-6;4;Light Rain;-5;4;Fair
2014/03/26;-2;10;Mostly Cloudy;-1;8;Clear;2;3;n/a;1;3;Mostly Cloudy;-5;5;Fair
2014/03/27;1;14;Clear;-2;11;Fair;2;5;n/a;1;7;Fair;-5;8;Fair
2014/03/28;3;13;Clear;1;13;Clear;3;9;n/a;-3;10;Fair;-3;11;Fair
2014/03/29;1;17;Clear;5;18;Clear;3;6;n/a;-6;12;n/a;1;8;n/a
2014/03/30;3;18;Mist;3;20;Clear;2;8;n/a;-4;15;n/a;-2;4;Cloudy
2014/03/31;4;16;Fair;7;17;Partly Cloudy;3;10;n/a;-4;5;n/a;-4;4;Cloudy
2014/04/01;4;16;Fair;3;20;Clear;2;5;n/a;-6;6;n/a;-5;3;Cloudy
2014/04/02;6;19;Fair;8;19;Clear;2;5;n/a;-5;9;n/a;-6;2;n/a
2014/04/03;6;21;Fair;9;19;Clear;2;8;n/a;-6;8;Mostly Cloudy;-3;3;Partly Cloudy
2014/04/04;7;21;Fair;8;14;Cloudy;2;5;n/a;-8;8;n/a;-5;7;n/a
2014/04/05;8;15;Fair;4;14;Fair;3;6;n/a;-6;10;n/a;-4;7;n/a
2014/04/06;8;17;Mist;12;15;Cloudy;4;7;Fog;5;12;Fog;-1;8;n/a
2014/04/07;6;20;Fair;8;14;Partly Cloudy;7;11;Light Rain;4;12;Fog;0;3;Light Drizzle
2014/04/08;9;21;Fair;5;13;Partly Cloudy;7;11;n/a;5;12;Cloudy;0;1;Partly Cloudy
2014/04/09;6;11;Fair;2;16;Clear;6;7;n/a;2;6;Drizzle;-2;5;Cloudy
2014/04/10;4;9;Mostly Cloudy;3;16;Clear;4;8;n/a;1;7;Cloudy;-1;4;Light Snow
2014/04/11;1;12;Partly Cloudy;6;16;Clear;4;6;Fog;2;10;Cloudy;0;9;n/a
2014/04/12;5;15;Mostly Cloudy;3;14;Clear;4;8;n/a;2;9;n/a;0;6;n/a
2014/04/13;8;15;Fair;7;16;Clear;6;10;Light Rain;4;9;Drizzle;2;7;n/a
2014/04/14;4;12;Fair;6;15;Clear;5;8;Rain;3;11;Mostly Cloudy;1;7;Partly Cloudy
2014/04/15;2;8;Fair;1;14;Clear;4;8;n/a;-1;9;n/a;-1;5;Partly Cloudy
2014/04/16;3;11;Mostly Cloudy;0;16;Clear;3;10;n/a;-5;12;n/a;0;7;Mostly Cloudy
